train_accuracy,train_loss,val_accuracy,val_loss,average_val_accuracy,average_val_loss,name
0.5,0.712466299533844,0.9375,0.6170040965080261,0.9370495319366455,0.6915696501731873,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_0"
0.5,0.7005078196525574,0.9369369149208069,0.691127359867096,0.9370495319366455,0.6915696501731873,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_1"
0.5,0.6995869278907776,0.9369369149208069,0.8189002275466919,0.9370495319366455,0.6915696501731873,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_2"
0.5,0.7010869979858398,0.9369369149208069,0.7002550959587097,0.9370495319366455,0.6915696501731873,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_3"
0.5,0.7012572884559631,0.9369369149208069,0.6305614709854126,0.9370495319366455,0.6915696501731873,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_4"
0.5,0.7105275392532349,0.9375,0.5937570333480835,0.9370495319366455,0.6014735698699951,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_0"
0.5,0.7247312068939209,0.9369369149208069,0.5539989471435547,0.9370495319366455,0.6014735698699951,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_1"
0.5,0.696118175983429,0.9369369149208069,0.5602447390556335,0.9370495319366455,0.6014735698699951,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_2"
0.5,0.7215514183044434,0.9369369149208069,0.6145666241645813,0.9370495319366455,0.6014735698699951,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_3"
0.5,0.7072285413742065,0.9369369149208069,0.6848005056381226,0.9370495319366455,0.6014735698699951,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_4"
0.5,0.7080458402633667,0.9375,0.6301917433738708,0.9370495319366455,0.7039546728134155,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_0"
0.5,0.699143648147583,0.9369369149208069,0.6814722418785095,0.9370495319366455,0.7039546728134155,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_1"
0.5,0.7015095949172974,0.9369369149208069,0.764173150062561,0.9370495319366455,0.7039546728134155,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_2"
0.5,0.7014461755752563,0.9369369149208069,0.7286664247512817,0.9370495319366455,0.7039546728134155,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_3"
0.5,0.698922336101532,0.9369369149208069,0.7152698040008545,0.9370495319366455,0.7039546728134155,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_4"
0.5,0.7049811482429504,0.9375,0.5772323608398438,0.9370495319366455,0.6860186576843261,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_0"
0.5,0.7055445313453674,0.9369369149208069,0.4990687370300293,0.9370495319366455,0.6860186576843261,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_1"
0.5,0.707957923412323,0.9369369149208069,0.6330280303955078,0.9370495319366455,0.6860186576843261,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_2"
0.5,0.7080621123313904,0.9369369149208069,0.9370564222335815,0.9370495319366455,0.6860186576843261,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_3"
0.5,0.7080591320991516,0.9369369149208069,0.7837077379226685,0.9370495319366455,0.6860186576843261,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_4"
0.5,0.6799002885818481,0.9375,0.6144912838935852,0.9370495319366455,0.6772406101226807,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_0"
0.5,0.6976974010467529,0.9369369149208069,0.6938585042953491,0.9370495319366455,0.6772406101226807,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_1"
0.5,0.7218305468559265,0.9369369149208069,0.6191718578338623,0.9370495319366455,0.6772406101226807,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_2"
0.5,0.6974878311157227,0.9369369149208069,0.6866112947463989,0.9370495319366455,0.6772406101226807,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_3"
0.5,0.7248507142066956,0.9369369149208069,0.7720701098442078,0.9370495319366455,0.6772406101226807,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_4"
0.5,0.7049009799957275,0.9375,0.7265689969062805,0.9370495319366455,0.6757080554962158,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_0"
0.5,0.719933807849884,0.9369369149208069,0.6457325220108032,0.9370495319366455,0.6757080554962158,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_1"
0.5,0.6627916097640991,0.9369369149208069,0.6046956181526184,0.9370495319366455,0.6757080554962158,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_2"
0.5,0.6953260898590088,0.9369369149208069,0.696500837802887,0.9370495319366455,0.6757080554962158,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_3"
0.5,0.6958009004592896,0.9369369149208069,0.70504230260849,0.9370495319366455,0.6757080554962158,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_4"
0.5,0.6938484907150269,0.9375,0.695098876953125,0.9370495319366455,0.6511439919471741,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.01_0"
0.5,0.618870198726654,0.9369369149208069,0.5832114219665527,0.9370495319366455,0.6511439919471741,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.01_1"
