train_accuracy,train_loss,val_accuracy,val_loss,average_val_accuracy,average_val_loss,name
0.5,0.7088696956634521,0.1964285671710968,0.5688573122024536,0.19784427285194398,0.6541107535362244,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_0"
0.5,0.6980122327804565,0.19819819927215576,0.7529750466346741,0.19784427285194398,0.6541107535362244,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_1"
0.5,0.7049987316131592,0.19819819927215576,0.6669423580169678,0.19784427285194398,0.6541107535362244,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_2"
0.5,0.7027768492698669,0.19819819927215576,0.6653937101364136,0.19784427285194398,0.6541107535362244,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_3"
0.5,0.7004934549331665,0.19819819927215576,0.6163853406906128,0.19784427285194398,0.6541107535362244,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.1_4"
0.5,0.7046297192573547,0.1964285671710968,0.6478236317634583,0.19784427285194398,0.6672136068344117,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_0"
0.5,0.7006147503852844,0.19819819927215576,0.6470009088516235,0.19784427285194398,0.6672136068344117,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_1"
0.5,0.6978146433830261,0.19819819927215576,0.5964682102203369,0.19784427285194398,0.6672136068344117,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_2"
0.5,0.6989743113517761,0.19819819927215576,0.7284809947013855,0.19784427285194398,0.6672136068344117,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_3"
0.5,0.7003306150436401,0.19819819927215576,0.7162942886352539,0.19784427285194398,0.6672136068344117,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.1_4"
0.5,0.7018146514892578,0.1964285671710968,0.7927219271659851,0.19784427285194398,0.7464714407920837,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_0"
0.5,0.697163999080658,0.19819819927215576,0.6509703993797302,0.19784427285194398,0.7464714407920837,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_1"
0.5,0.7077042460441589,0.19819819927215576,0.8024914860725403,0.19784427285194398,0.7464714407920837,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_2"
0.5,0.7018460631370544,0.19819819927215576,0.7754876017570496,0.19784427285194398,0.7464714407920837,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_3"
0.5,0.7015573382377625,0.19819819927215576,0.7106857895851135,0.19784427285194398,0.7464714407920837,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.1_4"
0.5,0.7089439034461975,0.1964285671710968,0.6954852342605591,0.19784427285194398,0.7401664137840271,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_0"
0.5,0.693837583065033,0.19819819927215576,0.8119979500770569,0.19784427285194398,0.7401664137840271,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_1"
0.5,0.7168149948120117,0.19819819927215576,0.6614663600921631,0.19784427285194398,0.7401664137840271,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_2"
0.5,0.7082779407501221,0.19819819927215576,0.7728087902069092,0.19784427285194398,0.7401664137840271,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_3"
0.5,0.6994364857673645,0.19819819927215576,0.7590737342834473,0.19784427285194398,0.7401664137840271,"512_[512, 256, 128]_0.2_Adam_binary_crossentropy_0.1_4"
0.5,0.6522176861763,0.1964285671710968,0.6146029829978943,0.19784427285194398,0.6743518590927124,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_0"
0.5,0.7092429995536804,0.19819819927215576,0.7148622870445251,0.19784427285194398,0.6743518590927124,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_1"
0.5,0.7154667377471924,0.19819819927215576,0.7448760271072388,0.19784427285194398,0.6743518590927124,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_2"
0.5,0.7035837769508362,0.19819819927215576,0.715393602848053,0.19784427285194398,0.6743518590927124,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_3"
0.5,0.777274489402771,0.19819819927215576,0.5820243954658508,0.19784427285194398,0.6743518590927124,"512_[512, 256, 128]_0.05_Adam_binary_crossentropy_0.01_4"
0.5,0.6815317869186401,0.1964285671710968,0.6422957181930542,0.19784427285194398,0.6994463086128235,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_0"
0.5,0.6996504068374634,0.19819819927215576,0.6972180604934692,0.19784427285194398,0.6994463086128235,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_1"
0.5,0.695075511932373,0.19819819927215576,0.6960930824279785,0.19784427285194398,0.6994463086128235,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_2"
0.5,0.7574037909507751,0.19819819927215576,0.8112847805023193,0.19784427285194398,0.6994463086128235,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_3"
0.5,0.6783413290977478,0.19819819927215576,0.6503399014472961,0.19784427285194398,0.6994463086128235,"512_[512, 256, 128]_0.1_Adam_binary_crossentropy_0.01_4"
0.5,0.6903210878372192,0.1964285671710968,0.6575624346733093,0.19784427285194398,0.6551704406738281,"512_[512, 256, 128]_0.15000000000000002_Adam_binary_crossentropy_0.01_0"
